500 500
160 70 363
162 68 16
162 110 32
162 40 446
163 464 210
164 239 452
165 480 153
166 269 313
167 133 177
168 56 62
168 305 242
168 19 492
169 384 248
170 177 371
170 418 378
171 439 217
171 125 240
171 362 332
172 18 60
172 227 318
174 399 432
175 179 230
175 52 263
175 63 406
175 307 502
176 490 22
176 441 28
177 478 226
177 170 371
178 228 121
178 498 131
178 186 213
179 175 230
180 89 469
181 15 51
181 473 374
181 348 431
181 471 443
182 189 204
182 423 419
183 401 99
183 483 187
183 335 224
186 491 102
186 467 110
186 178 213
186 383 243
186 229 400
187 32 337
188 148 284
189 182 204
189 311 278
189 237 351
190 445 13
190 81 184
191 268 188
192 21 58
194 416 234
195 231 113
195 316 197
195 218 349
195 485 350
195 483 429
196 215 7
196 292 71
196 326 195
196 498 250
196 262 314
197 376 114
197 87 225
197 305 249
197 418 477
199 398 286
200 411 216
200 353 356
200 20 441
201 333 157
201 447 390
201 457 398
201 299 447
202 351 144
202 241 150
202 392 181
202 3 394
202 323 438
202 236 468
203 404 436
204 55 87
204 324 434
205 242 107
205 227 256
206 207 308
207 206 308
208 73 132
208 104 489
209 303 74
209 262 97
209 220 333
209 217 383
209 377 423
210 125 239
211 358 50
211 263 85
211 134 411
213 339 128
213 215 285
213 63 399
214 425 245
215 196 7
215 213 285
216 255 95
217 126 170
217 209 383
218 380 232
218 195 349
218 70 368
218 475 403
219 261 138
219 258 402
220 14 147
220 319 209
220 209 333
221 435 189
221 145 207
221 232 410
222 134 10
222 116 81
222 459 448
223 51 69
223 393 317
224 15 63
225 7 106
226 480 483
227 205 256
227 360 309
227 172 318
227 481 428
227 57 442
228 178 121
228 116 201
228 83 206
229 186 400
230 265 25
230 449 29
230 447 143
230 331 420
230 476 422
231 195 113
231 145 304
231 99 491
232 159 12
232 260 91
232 5 159
232 147 185
232 221 410
232 139 459
233 283 171
234 96 321
236 112 67
236 352 152
236 309 251
236 142 288
236 127 319
236 472 370
236 202 468
236 60 480
237 351 296
237 189 351
238 263 123
238 446 227
238 95 320
239 64 362
239 164 452
240 120 268
241 202 150
241 269 191
241 37 485
242 205 107
242 418 174
242 337 176
243 361 31
244 129 127
245 462 26
246 69 274
246 15 450
247 322 339
248 361 120
249 493 435
250 415 27
250 140 395
251 13 178
251 462 218
251 30 270
251 286 460
252 258 37
252 448 424
252 460 500
253 358 280
254 491 79
254 447 376
255 499 17
255 467 40
255 216 95
255 90 149
255 259 358
255 80 467
257 71 72
257 50 357
258 252 37
258 48 141
258 263 397
258 219 402
259 460 100
259 255 358
260 232 91
261 53 47
261 219 138
261 422 247
261 411 272
261 351 345
262 280 14
262 209 97
262 23 257
262 196 314
263 211 85
263 238 123
263 258 397
263 403 486
265 230 25
265 425 198
266 408 353
267 278 421
268 191 188
268 307 364
269 241 191
269 492 254
269 166 313
270 56 139
270 304 382
271 118 233
272 474 9
272 317 301
273 486 416
275 15 292
278 9 75
278 5 186
278 51 366
278 267 421
279 69 269
280 262 14
281 405 287
283 460 30
283 233 171
284 451 307
284 125 409
284 343 417
284 363 458
285 96 112
285 486 401
285 455 437
285 152 479
286 72 146
286 154 322
286 251 460
287 111 455
289 322 294
289 65 335
290 79 6
290 25 96
290 391 359
292 196 71
292 459 129
292 119 465
293 325 38
293 372 167
293 431 466
293 62 490
294 104 108
294 298 253
294 457 338
295 125 82
295 437 344
296 22 385
297 440 148
297 81 405
298 294 253
298 33 392
298 312 427
299 19 299
299 201 447
302 303 5
302 85 323
302 461 372
302 366 444
303 302 5
303 209 74
303 364 163
303 75 336
304 270 382
305 144 101
305 168 242
305 197 249
306 68 169
306 82 456
307 371 61
307 329 325
307 268 364
307 395 472
307 175 502
308 382 430
309 236 251
309 114 494
310 112 156
310 69 348
310 13 414
311 37 41
311 145 223
311 189 278
312 400 83
312 371 295
312 298 427
313 105 283
314 398 199
316 195 197
316 404 215
317 47 78
317 488 158
317 272 301
317 402 375
318 142 235
318 488 408
319 220 209
319 437 454
320 154 92
320 479 117
322 289 294
322 247 339
322 424 496
323 397 194
323 471 365
323 399 404
323 202 438
324 64 135
324 154 190
324 485 266
324 204 434
325 293 38
325 408 161
325 26 396
326 136 45
326 196 195
326 373 425
329 388 119
329 372 154
329 377 175
329 349 291
329 61 310
329 307 325
330 158 68
330 155 369
331 230 420
332 30 347
332 73 433
333 201 157
333 335 440
334 154 4
334 45 265
335 340 137
335 183 224
335 43 367
335 333 440
336 85 52
336 420 105
336 4 379
336 147 387
337 90 18
337 242 176
337 393 182
337 26 355
339 213 128
339 94 212
339 457 260
340 335 137
340 437 273
341 442 326
342 9 103
343 284 417
344 474 219
345 91 57
346 12 118
346 386 316
348 181 431
349 83 33
349 329 291
350 138 306
350 99 470
351 202 144
351 114 290
351 237 296
351 136 311
351 101 343
351 261 345
351 0 474
352 431 66
352 236 152
352 367 360
352 11 407
353 478 36
353 200 356
354 128 84
355 468 151
355 441 160
356 123 418
357 377 24
357 128 142
357 499 380
357 25 451
358 211 50
358 253 280
360 227 309
360 112 464
361 497 8
361 243 31
361 120 88
361 248 120
362 410 42
362 171 332
363 284 458
364 12 54
364 481 94
364 303 163
366 302 444
366 478 503
367 417 3
367 453 20
367 352 360
369 382 64
371 307 61
371 375 220
371 312 295
372 29 44
372 329 154
372 293 167
373 326 425
375 86 180
375 371 220
375 109 412
376 197 114
376 39 179
376 489 222
377 357 24
377 451 65
377 38 111
377 474 140
377 329 175
377 209 423
380 426 155
380 218 232
381 394 21
382 369 64
382 493 289
382 308 430
383 99 166
383 186 243
384 169 248
386 23 297
386 346 316
387 51 499
388 329 119
389 66 246
389 41 475
391 497 145
391 290 359
391 448 439
391 76 493
392 202 181
392 53 373
393 337 182
393 223 317
394 381 21
394 123 389
395 81 384
395 307 472
397 323 194
397 116 214
398 446 19
398 314 199
398 4 262
398 199 286
399 134 122
399 323 404
399 174 432
399 143 487
400 312 83
400 457 340
401 183 99
402 477 124
402 95 168
402 317 375
402 439 482
403 263 486
404 316 215
404 203 436
405 281 287
405 121 463
406 78 56
407 50 165
408 47 130
408 325 161
408 52 282
408 266 353
409 55 203
410 362 42
410 476 413
411 200 216
411 261 272
411 417 298
412 152 193
412 104 305
413 483 386
415 250 27
415 151 457
416 194 234
416 9 334
416 89 445
417 367 3
417 411 298
418 466 125
418 242 174
418 158 252
418 149 328
418 170 378
418 197 477
419 151 415
420 336 105
420 46 196
420 494 255
421 462 471
422 261 247
422 120 461
423 182 419
424 322 496
425 40 116
425 265 198
425 214 245
426 122 48
426 380 155
429 452 279
430 111 324
431 352 66
431 38 381
431 293 466
432 67 183
434 467 221
435 221 189
435 6 329
437 113 46
437 63 70
437 340 273
437 295 344
437 319 454
438 5 478
439 171 217
439 402 482
440 105 49
440 297 148
441 176 28
441 355 160
441 458 231
442 452 164
442 341 326
445 190 13
445 13 488
446 398 19
446 238 227
447 494 134
447 230 143
447 460 208
447 254 376
447 201 390
448 252 424
448 391 439
448 485 453
449 230 29
449 24 267
449 488 303
451 377 65
451 284 307
452 442 164
452 429 279
452 20 388
453 367 20
453 134 34
453 95 43
453 106 93
454 55 391
455 154 35
455 107 312
455 285 437
457 38 192
457 339 260
457 294 338
457 400 340
457 201 398
458 441 231
458 81 281
459 292 129
459 99 271
459 222 448
460 283 30
460 259 100
460 447 208
460 252 500
461 100 315
461 302 372
461 77 497
462 245 26
462 251 218
462 482 342
462 421 471
463 47 237
464 163 210
466 418 125
467 255 40
467 497 80
467 186 110
467 434 221
468 355 151
468 64 259
471 8 162
471 323 365
471 181 443
472 45 354
472 236 370
473 478 1
473 181 374
474 272 9
474 377 140
474 344 219
475 218 403
476 410 413
476 230 422
476 487 501
477 41 53
477 402 124
477 93 302
478 473 1
478 353 36
478 138 202
478 177 226
478 366 503
479 129 73
479 320 117
479 58 426
479 87 481
480 80 23
480 165 153
480 93 228
480 226 483
481 364 94
481 227 428
482 462 342
483 102 172
483 183 187
483 12 377
483 413 386
483 195 429
485 324 266
485 195 350
485 448 453
486 285 401
486 273 416
487 476 501
488 317 158
488 449 303
488 318 408
489 376 222
490 176 22
490 90 462
491 254 79
491 186 102
492 269 254
493 382 289
493 249 435
494 447 134
494 420 255
495 75 59
497 361 8
497 467 80
497 391 145
497 54 258
498 178 131
498 196 250
499 255 17
499 357 380
